user_id,login_hour,files_accessed,data_volume
user_48,10,1,87.60413379906427
user_78,12,8,6.6442495955819325
user_75,9,5,107.89915941036327
malicious_15,23,22,587.0263360938739
user_10,9,8,80.47100907539574
user_22,9,4,150.4133541681199
malicious_4,4,30,494.25730673280583
user_1,12,5,84.15355298538515
user_76,12,5,88.37189783051731
user_24,15,2,98.71467293279996
user_3,12,4,110.85342992239299
user_23,10,6,90.38390181089953
user_17,12,4,163.31325190793493
user_12,10,5,131.20689265457284
user_27,14,2,129.67066937212851
user_57,12,4,152.17069629634526
user_52,13,2,150.47333647521907
user_13,17,9,57.480476069316616
user_70,9,4,115.8739258883025
user_31,8,7,76.63840058102589
user_68,9,4,81.23638356750251
user_30,12,3,132.6621814265254
user_90,13,8,99.0289054104271
malicious_13,23,30,360.5422034597931
user_16,9,4,113.8635920632972
user_40,13,5,138.0874458307532
user_51,11,3,106.94347207283347
user_15,8,1,90.1241212916217
user_26,9,5,117.71936609382244
user_93,13,4,48.02059030514314
user_86,11,7,130.28745663522912
user_20,13,4,80.6972561673188
user_19,10,2,160.89810328661537
user_64,12,5,155.5693258939972
user_55,12,6,92.9073964848221
user_6,10,7,110.6149221431395
user_35,10,4,112.74641524878997
malicious_18,23,34,464.5136894110342
user_36,6,5,102.8213573602708
user_79,11,3,111.17274073344281
user_77,10,7,93.86382288616343
user_43,10,5,119.63801897638331
user_88,11,7,133.63440558297074
malicious_12,23,30,363.543039573258
malicious_10,2,29,645.9231796000684
user_39,9,9,114.06262296433077
malicious_19,23,24,255.67669892781862
user_60,10,3,76.82433268901563
malicious_11,3,31,468.640955466629
user_25,13,9,111.87266635171095
user_92,11,3,86.12797631476292
user_66,8,4,107.33581373401918
user_87,9,3,63.07363293322569
malicious_8,3,19,582.7332154705437
malicious_9,2,20,440.82175985716395
user_14,14,1,96.32924994860079
user_42,12,3,109.18911984140222
malicious_2,2,19,496.7381209944422
user_34,9,4,83.84345133463881
user_54,11,5,87.52164452367587
user_81,12,5,43.89453481048813
user_50,11,4,119.01600804133982
user_45,12,5,99.89923312295946
user_28,10,3,113.48850942001938
user_82,11,6,69.63673158640604
user_37,11,4,71.97770185422007
user_72,13,7,114.54739251829662
user_47,12,9,139.43787198497884
user_18,13,9,125.97104403939178
user_53,10,5,68.25712827783931
malicious_0,23,23,473.4315091404519
user_41,12,5,59.9482871130705
malicious_14,23,29,429.64684938921744
user_98,7,6,111.0767504777831
malicious_1,23,21,594.202358321258
user_2,9,2,116.28986667298535
malicious_16,4,31,341.58364701114044
user_7,10,5,75.17429314712616
malicious_6,2,28,547.8789316281019
user_71,14,12,82.28869786053015
malicious_5,3,32,525.36190717159
user_83,10,8,131.88902415766702
user_5,14,3,73.38692373652705
user_99,13,4,123.48888928014131
user_89,12,8,148.37810571454182
user_32,10,7,43.53889161553429
user_80,13,5,130.40865393925432
malicious_17,3,20,344.56290230317086
user_95,11,7,138.27786720717774
user_9,10,8,103.4148993040617
user_44,13,2,91.49178812288903
user_96,15,7,69.40435812133389
user_56,9,8,135.19055765950392
user_33,16,5,143.8276195071836
user_67,10,4,141.3870732675216
user_91,13,6,98.22902649603941
user_62,10,8,130.64068007412305
user_63,10,2,151.97786455982185
user_58,14,3,93.25729145131876
user_94,12,3,126.34933761015009
malicious_7,23,24,327.6238160493683
user_21,11,4,105.09874864255815
user_74,13,4,89.87234029176987
user_69,13,1,104.87468416397228
user_29,11,5,59.49824530132247
user_38,13,3,145.99068052120754
user_61,12,4,134.3124068263578
user_84,9,4,116.13110147088925
user_49,13,5,112.77529426176426
user_59,15,2,53.99349913734522
user_73,11,1,99.40936364412896
malicious_3,4,20,389.0632897851788
user_0,12,4,106.37297781167402
user_46,12,5,100.75631599470626
user_11,14,2,118.31694731525566
user_85,11,4,94.73166670392793
user_97,12,4,107.4918532135005
user_4,13,4,96.38428144098593
user_65,10,6,120.58046834493757
user_8,10,4,40.200753348184854
